DISTRICT_NAME|CUSTOMER_ID|SECTOR_NAME|INDUSTRY_NAME|GENDER|NATIONALITY|MARITAL_STATUS|EDU_BG|PLACE_BIRTH|SUB_CITY|TOWN_COUNTRY|OCCUPATION|CUS_SALRG|NET_MONTHLY_OUT|NO_ACCT_TYPE|NO_ACCOUNTS|CUST_DATE|CHANNEL|MB_DATE|KPI_STATUS|CARD_USER|AVG_BAL|AVG_NO_TXN_FT|AVG_NO_TXN_TT_CR|AVG_NO_TXN_TT_DB|LAST_VISIT_DATE
HAWASA DISTRICT|gAAAAABnTu6Jkc8RdrqxOmluhIM7gm1vkZuKJjtvhmkVj4Hhk5Hx8LrmMoON0DWA5E4dlryH3Vm0Ba60k0rckjlQVbg4GUPoBw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|WOLAYITA|WOLAITA|BODITI|PRIVATE||1800YR21600 |1|1|3/21/2022|USSD|8/2/2023|ACTIVE|1|3733.20333333333|4.08333333333333|0.5|0.166666666666667|10/12/2024
WEST ADDIS DISTRICT|gAAAAABnTu6Jc3wnqCdlP4hisnlFWlRWc-gzdgKtX0399vw55rlZpWnqJtAufW23h-hMB5FQac2n6yX-_xrJCKpCWeD8CdFJ_A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|TULU BOLO|SOUTH WEST SHOA ZONE|TULLU BOLLO TOWN|SELF||NOTAVALIABLE YR 0|1|2|12/19/2020|USSD|10/17/2024|INACTIVE|1|3109.31083333333|2.66666666666667|1.0|1.16666666666667|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6J_M92zDBqoODF0E-4IFn52shl0cdgjNmMLHa1M7y1rWONt8OpToS-jEulzzIToGDfvZc63svVaI_H1MRbqT9oiw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|BURE|W/GOJJAM|BURE|Not Available||NOTAVALIABLEYR0 |1|1|2/4/2021|USSD|11/2/2023|ACTIVE|1|8022.5125|33.3333333333333|1.0|5.66666666666667|11/21/2024
BAHIRDAR DISTRICT|gAAAAABnTu6JIlJi3wDFb4Ls8iJlfVg9CFN8AlObkUNVjI5nbuui2nHTHI06XQH1KUTJL_Lg26J32QAgpRYv_EzjYyqRin_zTQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|TEBERSERAKO|C/GONDER|AYIKEL|SELF EMPLOYEES|1000-10000|NOTAVALIABLEYR0|1|1|2/15/2023|USSD|7/3/2024|INACTIVE|1|491.666666666667|2.08333333333333|3.16666666666667|1.91666666666667|11/21/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JXbVIXOQRgzmgom7Ov6v6fjpKGAWcbaEmfjNi6WZxaB08DDBBrQVRJMRFOcdUrLxPV-SDRoc8ujO7C05M8iedIg==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|MARRIED|<12|ET|N/SILK|AA|Private||10000.00YR120000|3|3|2/20/2023|USSD|5/8/2024|ACTIVE|1|2457.93916666667|17.1666666666667|0.416666666666667|1.5|11/21/2024
HAWASA DISTRICT|gAAAAABnTu6JNABGpOGQYZJeX1GcnF4c83hQ6ThJF21sVpSnw7j77xveJPoDWyH-TVhlzBuiAZS7qNTpociqdjyIOHK6uirvQw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|YIRGACHEFFE|GEDEO|Y/CHEFFE|Private|10001-20000|NOTAVALIABLEYR0 |1|1|4/29/2022|USSD|6/14/2024|ACTIVE|1|5734.96666666667|0.333333333333333|0.166666666666667|0.0833333333333333|7/31/2024
WEST ADDIS DISTRICT|gAAAAABnTu6JSKUV1YhipCLNrD8AKBErVS9O-tA3ZGgUJLarIpe72s9nm8AMgn0-PwwqshrWl_Fj-oqeniNsZh34nY9vV0QaXw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|>= 12|TIHA|KOLFE KERANIYO|AA|PRIVATE|1000-10000|NOTAVALIABLEYR0|2|4|11/15/2017|USSD|5/27/2024|ACTIVE|1|115235.233333333|2.5|3.33333333333333|4.0|11/21/2024
JIMMA DISTRICT|gAAAAABnTu6J2L04P2GA5ZUMguiZqSchd8qQqnuoxvQT88vrdh5lIZDHCL6A2rd3NeRv-E2MCqU6dbQZXe6j_9fOydRKbEpxLg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|DIMA|AGNUAK|DIMA|PVT||NOTAVALIABLEYR0|2|2|11/2/2023|USSD|12/22/2023|ACTIVE|1|9538.08083333333|8.5|0.5|2.33333333333333|11/21/2024
DIRE DEWA DISTRICT|gAAAAABnTu6JQlTmC3yVz1YZewoazhlS5VidYzIEISxT0o202QJEjGosaplqFwS5djmSsyQjX2kAYPWjpLWoiZRGXqkVw2Ok9Q==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|DD|DD|DD|Private||NOTAVALIABLEYR0|4|4|6/15/2023|USSD|10/5/2023|ACTIVE|1|16015.25|9.25|3.41666666666667|1.0|11/21/2024
EAST ADDIS DISTRICT|gAAAAABnTu6JN95mG86Lc1Fsga_ymypX9-uTqw402D4wHwMwn8Vzci-onEUrc41uysm5Koq-pzS5c5Dxs-xy_f-rD94IuZERNQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|DIVORCED|Not Available|YEMEN|YEMEN|YEMEN|PRIVATE||NOTAVALIABLE YR 0|1|1|2/16/2021|USSD|10/17/2023|ACTIVE|1|2507.02416666667|7.66666666666667|0.666666666666667|1.91666666666667|11/19/2024
